﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿央视,#genre#

CCTV1, http://64.110.89.31:8181/cctv1
CCTV2, http://64.110.89.31:8181/cctv2
CCTV3, http://64.110.89.31:8181/cctv3
CCTV4, http://64.110.89.31:8181/cctv4
CCTV5, http://64.110.89.31:8181/cctv5
CCTV6, http://64.110.89.31:8181/cctv6
CCTV7, http://64.110.89.31:8181/cctv7
CCTV8, http://64.110.89.31:8181/cctv8
CCTV9, http://64.110.89.31:8181/cctv9
CCTV10, http://64.110.89.31:8181/cctv10
CCTV11, http://64.110.89.31:8181/cctv11
CCTV12, http://64.110.89.31:8181/cctv12
CCTV13, http://64.110.89.31:8181/cctv13
CCTV14, http://64.110.89.31:8181/cctv14
CCTV15, http://64.110.89.31:8181/cctv15
CCTV16, http://64.110.89.31:8181/cctv16
CCTV17, http://64.110.89.31:8181/cctv17

CCTV1,https://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw3829518356_1408175536/wd_r2/cctv/cctv1hd/2500/index.m3u8?msisdn=18352984223&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.30.208&timestamp=20240201094803&encrypt=05437a2eba02c9e7416c8ed9785112e5&ContentId=265183188&timezone=UTC&mtv_session=c8a533162e93f97221f87daed2ee5e5c&icpid=88888888&RTS=1706780883&from=8&hms_devid=184&prioritypopid=8&online=1706780883
CCTV2,https://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8

CCTV3,HTTPS://live-dtocnc-cdn.ysp.cctv.cn/1985638ABED31CF845B025637054DAA6B92205947C8C801B1055A4095974B6569FDD3DF4248D7C173428988EAF237EAFC2DCDAE9C741328CCA5430EC67835F2121DACC0F9738AFB5238630373F096BA3B2100E8F16A46B41642527746FCFA77FF80FC9F10E1114F2561E9826EBA0329F/2000203803.m3u8?from=player&svrtime=1706851059&pid=600001801&cdn=5505&revoi=2AD15C50141B92021E4440843E3DD1D195021C95A2137287965D0AF8FC04E415B9CC0A98F6D7BE0445C8A6D6C11CB01E67BBE4DC7C761F1406C624A968F25ACD96DA6924EAB7103EA5B6248422C2E37782BD6F07C94D08C9E330736B1980F49D96DABC9BB59C17EF8A0FE1F0E584BB80678B84448F5E93DB162178699BFFC7F854251E34889ED243

CCTV3,https://h5.live.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/01.m3u8?msisdn=4cd7dd372b828f87a4a38e622baee5e6&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20240201174151&Channel_ID=2504090300-99000-200300020100001&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=27.184.131.60&SecurityKey=20240201174151&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-7.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=bb383b89d13de9fe3c3af3ce87b40d80&HlsSubType=1&nphaid=0&HlsProfileId=1&mtv_session=145f94abba7d808c7ad41585fc14ab9a
CCTV4,HTTPS://h5.live.miguvideo.com/wd_r2/cctv/cctv4hd/600/index.m3u8?msisdn=71188fd6d5a36147a9a63fa8c1699a0c&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20240201175355&Channel_ID=2504090300-99000-200300020100001&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=27.184.131.60&SecurityKey=20240201175355&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-7.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&encrypt=6961618a008934ee01c34442162b4ef4

CCTV5,HTTPS://h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv5hdnew/600/20231202002108-01-888949.ts?msisdn=06f5176fb9fd6ff31f8c0e84cbf91e32&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20240201175655&Channel_ID=2504090300-99000-200300020100001&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=27.184.131.60&SecurityKey=20240201175655&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-7.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&mtv_session=c4413bafe4c0f1b656817fd9903b0fc9&encrypt=8583cda3dc3ec5b7841b82a4f2a7612b&HlsProfileId=1&HlsSubType=2

